Date,Time,Alt(m),VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-02-13,14:24:21.620,33.9,-0.1,-74,0,99,10,0,7,500,-69,88,9,31.984199 120.308694,39.9,220.50,33,20,16.5,4.0,24,78,0.54,-0.11,2.45,"AIR",-120,50,-463,7,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1490,1521,1267,1448,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:22.120,33.8,-0.5,-73,0,100,11,0,7,500,-69,88,7,31.984148 120.308656,29.8,202.50,33,20,16.5,4.8,25,78,0.57,0.00,2.37,"AIR",-93,44,-449,-75,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1449,1518,1274,1462,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:22.620,32.8,-3.1,-72,0,100,10,0,7,500,-61,96,12,31.984114 120.308648,24.5,184.80,31,20,16.4,5.5,26,77,0.58,-0.02,2.40,"AIR",-97,9,-530,-31,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1471,1500,1233,1460,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:23.120,32.5,-1.5,-73,0,99,10,0,7,500,-66,96,10,31.984079 120.308659,23.7,154.80,31,20,16.4,5.5,26,77,0.58,-0.02,2.40,"AIR",-38,-7,-515,-29,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1472,1493,1241,1489,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:23.620,31.4,-1.4,-73,0,99,10,0,7,500,-67,96,9,31.984050 120.308686,26.3,134.30,30,19,16.5,4.2,26,77,0.55,0.00,2.38,"AIR",-19,10,-521,28,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1501,1238,1499,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:24.120,30.0,-2.1,-72,0,100,9,0,7,500,-62,96,5,31.984050 120.308686,26.3,134.30,30,19,16.5,4.1,27,78,0.54,0.02,2.35,"AIR",-101,-19,-527,-96,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1438,1487,1235,1458,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:24.620,30.0,-2.4,-71,0,100,10,0,7,500,-62,100,10,31.984025 120.308727,30.4,118.60,29,18,16.5,4.1,28,77,0.51,0.00,2.20,"AIR",-80,-7,-467,26,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1499,1493,1265,1468,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:25.120,28.3,-2.5,-71,0,100,10,0,7,500,-58,88,6,31.984005 120.308781,35.1,109.00,27,19,16.5,4.9,29,77,0.48,0.01,2.01,"AIR",-68,-24,-446,-8,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1482,1484,1275,1474,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:25.620,27.5,-1.8,-70,0,99,10,0,7,500,-62,100,9,31.983990 120.308845,40.0,101.60,26,18,16.4,5.1,30,76,0.45,0.03,1.86,"AIR",-75,-46,-471,-25,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1474,1473,1263,1471,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:26.120,26.0,-2.1,-69,0,100,11,0,7,500,-60,96,10,31.983980 120.308932,44.7,94.50,25,20,16.4,4.7,30,76,0.45,0.03,1.86,"AIR",-71,3,-518,29,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1498,1239,1473,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
